Unidade,Sheet_Original,Descricao,Budget_2025,Actual_2025,Percentual_Diferenca,Status,Tipo
DISTRIB,BUDGET DISTRIB 2025,SG&A,1.3041731546225463,0.6310796715003959,-51.61074514809785,Abaixo do Budget,Item
DISTRIB,BUDGET DISTRIB 2025,SG&A w/funded head,1.6091731546225467,0.6564963381670628,-59.202877808320586,Abaixo do Budget,Item
DISTRIB,BUDGET DISTRIB 2025,TOTAL OPERATIONAL EBITDA,9.76393848648368,1.3419116448553805,-86.25645125977593,Abaixo do Budget,Item
PROJECTS,BUDGET PROJECTS 2025,COMISSIONS,0.22003731600000004,0.16801023992771744,-23.64466037764367,Abaixo do Budget,Item
PROJECTS,BUDGET PROJECTS 2025,FH,0.30499999999999994,0.025416666666666667,-91.66666666666667,Abaixo do Budget,Item
PROJECTS,BUDGET PROJECTS 2025,GENERAL AND ADMINISTRATION EXPENSES,0.0,0.0,0.0,Acima do Budget,Item
PROJECTS,BUDGET PROJECTS 2025,GROSS PROFIT,4.40074632,0.949025,-78.43490783172433,Abaixo do Budget,Item
PROJECTS,BUDGET PROJECTS 2025,GROSS PROFIT w/ rebates & incentives,8.541194112,1.5359030599999999,-82.01770103969275,Abaixo do Budget,Item
PROJECTS,BUDGET PROJECTS 2025,MARKETING EXPENSES,0.3558284618722162,0.030811843422842683,-91.34081538595197,Abaixo do Budget,Item
PROJECTS,BUDGET PROJECTS 2025,OH,0.4127648626265589,0.270667213490021,-34.42581043171256,Abaixo do Budget,Item
PROJECTS,BUDGET PROJECTS 2025,ORDERS RECEIVED,29.338308800000004,3.5391666666666666,-87.93670524503216,Abaixo do Budget,Item
PROJECTS,BUDGET PROJECTS 2025,REBATES,1.173532352,0.24755423,-78.90520618557262,Abaixo do Budget,Item
PROJECTS,BUDGET PROJECTS 2025,REBATES ANUAL,1.5,0.0,-100.0,Abaixo do Budget,Item
PROJECTS,BUDGET PROJECTS 2025,REVENUES,29.338308800000004,8.86330772,-69.78930251085231,Abaixo do Budget,Item
PROJECTS,BUDGET PROJECTS 2025,SALES EXPENSES,0.15771937129045024,0.06920348483938596,-56.12239367100739,Abaixo do Budget,Item
PROJECTS,BUDGET PROJECTS 2025,SALES INCENTIVE,1.46691544,0.33932383,-76.8682078907016,Abaixo do Budget,Item
PROJECTS,BUDGET PROJECTS 2025,SG&A,0.7594409702429893,0.4741033274917976,-37.57206339024554,Abaixo do Budget,Item
PROJECTS,BUDGET PROJECTS 2025,SG&A w/funded head,1.0644409702429898,0.49951999415846426,-53.07208120292155,Abaixo do Budget,Item
PROJECTS,BUDGET PROJECTS 2025,TOTAL OPERATIONAL EBITDA,6.3304031299677845,0.49769028416156846,-92.13809493734246,Abaixo do Budget,Item
